table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
"vst_apparentindividual","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_apparentindividual","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","subplotID","Identifier for the NEON subplot","string",NA,"basic","LOV","N","vst.subplot"
"vst_apparentindividual","individualID","Domain-level unique identifier for an individual: NEON.MOD.D##.######","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","tempStemID","Stem-level identifier for a multi-stemmed individual with growth form of shrub, small shrub, sapling or small tree","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","tagStatus","Description of state or condition of the physical tag","string",NA,"basic","LOV","N","vst.tagStatus"
"vst_apparentindividual","growthForm","The growth form classification","string",NA,"basic","LOV","N","vst.growthForm"
"vst_apparentindividual","measurementStrategy","Identifier for the selected method of measuring an individual","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","plantStatus","Physical status of the plant or plants","string",NA,"basic","LOV","N","vst.plantStatus"
"vst_apparentindividual","stemDiameter","Cross-sectional stem diameter","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","measurementHeight","Height at which stemDiameter is measured","real","centimeter","basic","integer","N",NA
"vst_apparentindividual","changedMeasurementLocation","Indicator for whether the measurement location on the individual changed from previous measurements","string",NA,"basic","LOV","N","vst.changedMeasurementLocation"
"vst_apparentindividual","height","Highest point of an individual or average height of a patch","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","heightQualifier","Data quality flag for height measurements","string",NA,"basic","LOV","N","vst.heightQualifier"
"vst_apparentindividual","baseCrownHeight","Height above the ground for the lowest portion of the crown","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","breakHeight","Height from the ground to the highest point along a broken bole","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","breakDiameter","Cross-sectional diameter at the break point along a broken bole","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","maxCrownDiameter","Maximum crown diameter of the individual or patch","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","ninetyCrownDiameter","Crown diameter perpendicular to maxDiameter","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","canopyPosition","Vertical status of an individual relative to its neighbors","string",NA,"basic","LOV","N","vst.canopyPosition"
"vst_apparentindividual","shape","Description of three dimensional form","string",NA,"basic","LOV","N","vst.shape"
