uid,namedLocation,date,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
"2572e02a-d5df-4478-98ab-693f7e058f56","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00300",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACPE","Acer pensylvanicum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"c68a8a51-5e19-419a-90b5-ed41cbfe2b8f","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",24.1,217.1,"map and tag","NEON.PLA.D07.MLBS.00146",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"MAAC","Magnolia acuminata (L.) L.","Magnolia","Magnoliaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"943d476f-a13c-4290-bbe0-6cad58f7c3f6","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",24.2,41.4,"map and tag","NEON.PLA.D07.MLBS.00050",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUCO2","Quercus coccinea Münchh.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"1f4b87ca-ba2e-4ae0-9ab8-5654e9bb12c7","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",22.3,298.4,"map and tag","NEON.PLA.D07.MLBS.00169A",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"3cea9fd6-3313-440a-ac25-0265e976d28c","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","57",5.9,155.7,"map and tag","NEON.PLA.D07.MLBS.00283A",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"AMLA","Amelanchier laevis Wiegand","Amelanchier","Rosaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"ae623e89-a53b-4b36-b42c-4765b16da66a","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00159",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"950f66e6-fd38-4d6a-a668-40487a7d288f","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",12.4,191,"map and tag","NEON.PLA.D07.MLBS.00076",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"5e82fa5c-06ca-4d8b-9c02-527afd86840b","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",22.2,301.3,"map and tag","NEON.PLA.D07.MLBS.00230",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"f064b07f-03de-4be8-8f1e-9ba38c265eff","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00041",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"867c1635-dd0d-4fa4-8ed2-03eec146825e","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",5.3,31.8,"map and tag","NEON.PLA.D07.MLBS.00011",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
